Pokemon,Pokeball,HP%,Status,Noise,Catch_Rate,Weight,Type,Success_Rate,Avg_Capture_Probability,Std_Capture_Probability,Attempts
snorlax,pokeball,20,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.3,0.17,0.0,10
snorlax,pokeball,20,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.0,0.17,0.009,10
snorlax,pokeball,20,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.1,0.16,0.014,10
snorlax,pokeball,20,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.0,0.16,0.041,10
snorlax,pokeball,29,NONE,0.0,25,1014.1,"NORMAL, NONE",0.13,0.08,0.0,30
snorlax,pokeball,29,NONE,0.05,25,1014.1,"NORMAL, NONE",0.17,0.08,0.003,30
snorlax,pokeball,29,NONE,0.1,25,1014.1,"NORMAL, NONE",0.13,0.08,0.007,30
snorlax,pokeball,29,NONE,0.15,25,1014.1,"NORMAL, NONE",0.07,0.08,0.009,30
snorlax,pokeball,29,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.17,0.12,0.0,30
snorlax,pokeball,29,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.27,0.12,0.005,30
snorlax,pokeball,29,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.13,0.12,0.011,30
snorlax,pokeball,29,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.1,0.12,0.014,30
snorlax,pokeball,29,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.07,0.16,0.0,30
snorlax,pokeball,29,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.1,0.15,0.008,30
snorlax,pokeball,29,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.2,0.16,0.017,30
snorlax,pokeball,29,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.17,0.16,0.024,30
snorlax,pokeball,40,NONE,0.0,25,1014.1,"NORMAL, NONE",0.17,0.07,0.0,30
snorlax,pokeball,40,NONE,0.05,25,1014.1,"NORMAL, NONE",0.13,0.07,0.004,30
snorlax,pokeball,40,NONE,0.1,25,1014.1,"NORMAL, NONE",0.1,0.07,0.007,30
snorlax,pokeball,40,NONE,0.15,25,1014.1,"NORMAL, NONE",0.03,0.07,0.01,30
snorlax,pokeball,40,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.13,0.11,0.0,30
snorlax,pokeball,40,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.17,0.11,0.006,30
snorlax,pokeball,40,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.0,0.11,0.01,30
snorlax,pokeball,40,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.2,0.1,0.018,30
snorlax,pokeball,40,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.17,0.14,0.0,30
snorlax,pokeball,40,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.13,0.15,0.006,30
snorlax,pokeball,40,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.13,0.14,0.015,30
snorlax,pokeball,40,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.13,0.14,0.024,30
snorlax,pokeball,49,NONE,0.0,25,1014.1,"NORMAL, NONE",0.0,0.07,0.0,10
snorlax,pokeball,49,NONE,0.05,25,1014.1,"NORMAL, NONE",0.0,0.07,0.003,10
snorlax,pokeball,49,NONE,0.1,25,1014.1,"NORMAL, NONE",0.0,0.07,0.009,10
snorlax,pokeball,49,NONE,0.15,25,1014.1,"NORMAL, NONE",0.0,0.07,0.007,10
snorlax,pokeball,49,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.0,0.1,0.0,10
snorlax,pokeball,49,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.0,0.1,0.006,10
snorlax,pokeball,49,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.0,0.1,0.006,10
snorlax,pokeball,49,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.0,0.1,0.016,10
snorlax,pokeball,49,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.1,0.13,0.0,10
snorlax,pokeball,49,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.2,0.13,0.004,10
snorlax,pokeball,49,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.4,0.13,0.007,10
snorlax,pokeball,49,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.1,0.12,0.021,10
snorlax,pokeball,50,NONE,0.0,25,1014.1,"NORMAL, NONE",0.0,0.07,0.0,20
snorlax,pokeball,50,NONE,0.05,25,1014.1,"NORMAL, NONE",0.2,0.07,0.003,20
snorlax,pokeball,50,NONE,0.1,25,1014.1,"NORMAL, NONE",0.05,0.06,0.006,20
snorlax,pokeball,50,NONE,0.15,25,1014.1,"NORMAL, NONE",0.05,0.06,0.01,20
snorlax,pokeball,50,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.1,0.1,0.0,20
snorlax,pokeball,50,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.05,0.1,0.004,20
snorlax,pokeball,50,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.1,0.1,0.008,20
snorlax,pokeball,50,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.25,0.1,0.018,20
snorlax,pokeball,50,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.1,0.13,0.0,20
snorlax,pokeball,50,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.05,0.13,0.006,20
snorlax,pokeball,50,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.2,0.13,0.012,20
snorlax,pokeball,50,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.05,0.13,0.016,20
snorlax,pokeball,59,NONE,0.0,25,1014.1,"NORMAL, NONE",0.0,0.06,0.0,20
snorlax,pokeball,59,NONE,0.05,25,1014.1,"NORMAL, NONE",0.0,0.06,0.003,20
snorlax,pokeball,59,NONE,0.1,25,1014.1,"NORMAL, NONE",0.1,0.06,0.005,20
snorlax,pokeball,59,NONE,0.15,25,1014.1,"NORMAL, NONE",0.1,0.06,0.007,20
snorlax,pokeball,59,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.1,0.09,0.0,20
snorlax,pokeball,59,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.0,0.09,0.005,20
snorlax,pokeball,59,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.0,0.09,0.009,20
snorlax,pokeball,59,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.1,0.09,0.015,20
snorlax,pokeball,59,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.1,0.12,0.0,20
snorlax,pokeball,59,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.15,0.12,0.006,20
snorlax,pokeball,59,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.15,0.13,0.015,20
snorlax,pokeball,59,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.15,0.12,0.02,20
snorlax,pokeball,60,NONE,0.0,25,1014.1,"NORMAL, NONE",0.0,0.06,0.0,10
snorlax,pokeball,60,NONE,0.05,25,1014.1,"NORMAL, NONE",0.2,0.06,0.002,10
snorlax,pokeball,60,NONE,0.1,25,1014.1,"NORMAL, NONE",0.0,0.06,0.005,10
snorlax,pokeball,60,NONE,0.15,25,1014.1,"NORMAL, NONE",0.0,0.06,0.011,10
snorlax,pokeball,60,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.1,0.09,0.0,10
snorlax,pokeball,60,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.2,0.09,0.004,10
snorlax,pokeball,60,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.0,0.09,0.006,10
snorlax,pokeball,60,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.1,0.09,0.016,10
snorlax,pokeball,60,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.2,0.12,0.0,10
snorlax,pokeball,60,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.1,0.12,0.005,10
snorlax,pokeball,60,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.1,0.11,0.011,10
snorlax,pokeball,60,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.2,0.13,0.014,10
snorlax,pokeball,70,NONE,0.0,25,1014.1,"NORMAL, NONE",0.03,0.05,0.0,30
snorlax,pokeball,70,NONE,0.05,25,1014.1,"NORMAL, NONE",0.07,0.05,0.002,30
snorlax,pokeball,70,NONE,0.1,25,1014.1,"NORMAL, NONE",0.07,0.05,0.005,30
snorlax,pokeball,70,NONE,0.15,25,1014.1,"NORMAL, NONE",0.03,0.05,0.007,30
snorlax,pokeball,70,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.17,0.08,0.0,30
snorlax,pokeball,70,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.07,0.08,0.004,30
snorlax,pokeball,70,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.07,0.08,0.008,30
snorlax,pokeball,70,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.1,0.08,0.011,30
snorlax,pokeball,70,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.1,0.1,0.0,30
snorlax,pokeball,70,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.13,0.1,0.004,30
snorlax,pokeball,70,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.13,0.1,0.01,30
snorlax,pokeball,70,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.13,0.11,0.015,30
snorlax,pokeball,79,NONE,0.0,25,1014.1,"NORMAL, NONE",0.1,0.05,0.0,10
snorlax,pokeball,79,NONE,0.05,25,1014.1,"NORMAL, NONE",0.1,0.05,0.002,10
snorlax,pokeball,79,NONE,0.1,25,1014.1,"NORMAL, NONE",0.1,0.04,0.004,10
snorlax,pokeball,79,NONE,0.15,25,1014.1,"NORMAL, NONE",0.1,0.04,0.006,10
snorlax,pokeball,79,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.0,0.07,0.0,10
snorlax,pokeball,79,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.0,0.07,0.004,10
snorlax,pokeball,79,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.2,0.07,0.006,10
snorlax,pokeball,79,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.0,0.08,0.014,10
snorlax,pokeball,79,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.0,0.09,0.0,10
snorlax,pokeball,79,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.0,0.09,0.003,10
snorlax,pokeball,79,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.0,0.09,0.006,10
snorlax,pokeball,79,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.0,0.1,0.015,10
snorlax,pokeball,80,NONE,0.0,25,1014.1,"NORMAL, NONE",0.1,0.05,0.0,20
snorlax,pokeball,80,NONE,0.05,25,1014.1,"NORMAL, NONE",0.05,0.05,0.002,20
snorlax,pokeball,80,NONE,0.1,25,1014.1,"NORMAL, NONE",0.0,0.05,0.005,20
snorlax,pokeball,80,NONE,0.15,25,1014.1,"NORMAL, NONE",0.15,0.04,0.007,20
snorlax,pokeball,80,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.1,0.07,0.0,20
snorlax,pokeball,80,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.05,0.07,0.002,20
snorlax,pokeball,80,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.0,0.07,0.006,20
snorlax,pokeball,80,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.05,0.07,0.008,20
snorlax,pokeball,80,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.1,0.09,0.0,20
snorlax,pokeball,80,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.1,0.09,0.005,20
snorlax,pokeball,80,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.05,0.09,0.01,20
snorlax,pokeball,80,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.2,0.1,0.017,20
snorlax,pokeball,89,NONE,0.0,25,1014.1,"NORMAL, NONE",0.0,0.04,0.0,20
snorlax,pokeball,89,NONE,0.05,25,1014.1,"NORMAL, NONE",0.1,0.04,0.002,20
snorlax,pokeball,89,NONE,0.1,25,1014.1,"NORMAL, NONE",0.05,0.04,0.005,20
snorlax,pokeball,89,NONE,0.15,25,1014.1,"NORMAL, NONE",0.1,0.04,0.005,20
snorlax,pokeball,89,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.05,0.06,0.0,20
snorlax,pokeball,89,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.05,0.06,0.002,20
snorlax,pokeball,89,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.1,0.06,0.002,20
snorlax,pokeball,89,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.05,0.06,0.011,20
snorlax,pokeball,89,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.2,0.08,0.0,20
snorlax,pokeball,89,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.0,0.08,0.004,20
snorlax,pokeball,89,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.05,0.08,0.007,20
snorlax,pokeball,89,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.15,0.08,0.013,20
snorlax,pokeball,90,NONE,0.0,25,1014.1,"NORMAL, NONE",0.0,0.04,0.0,10
snorlax,pokeball,90,NONE,0.05,25,1014.1,"NORMAL, NONE",0.0,0.04,0.002,10
snorlax,pokeball,90,NONE,0.1,25,1014.1,"NORMAL, NONE",0.0,0.04,0.005,10
snorlax,pokeball,90,NONE,0.15,25,1014.1,"NORMAL, NONE",0.0,0.04,0.005,10
snorlax,pokeball,90,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.1,0.06,0.0,10
snorlax,pokeball,90,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.0,0.06,0.003,10
snorlax,pokeball,90,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.0,0.06,0.006,10
snorlax,pokeball,90,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.0,0.06,0.011,10
snorlax,pokeball,90,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.0,0.08,0.0,10
snorlax,pokeball,90,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.0,0.08,0.003,10
snorlax,pokeball,90,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.0,0.08,0.011,10
snorlax,pokeball,90,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.1,0.08,0.018,10
snorlax,pokeball,100,NONE,0.0,25,1014.1,"NORMAL, NONE",0.03,0.03,0.0,30
snorlax,pokeball,100,NONE,0.05,25,1014.1,"NORMAL, NONE",0.0,0.03,0.001,30
snorlax,pokeball,100,NONE,0.1,25,1014.1,"NORMAL, NONE",0.03,0.03,0.004,30
snorlax,pokeball,100,NONE,0.15,25,1014.1,"NORMAL, NONE",0.03,0.03,0.005,30
snorlax,pokeball,100,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.07,0.05,0.0,30
snorlax,pokeball,100,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.07,0.05,0.002,30
snorlax,pokeball,100,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.07,0.05,0.006,30
snorlax,pokeball,100,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.03,0.05,0.007,30
snorlax,pokeball,100,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.07,0.07,0.0,30
snorlax,pokeball,100,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.03,0.07,0.003,30
snorlax,pokeball,100,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.1,0.07,0.006,30
snorlax,pokeball,100,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.07,0.06,0.009,30
